time,elapsed_seconds,message
12:43:31,0.0005825,commencing check of parameter bounds and gradients
12:43:31,4.94e-05,commencing calculation of upgrade vector
12:43:31,0.117891,forming JtQJ matrix
12:43:31,0.0279033,commencing to scale JtQJ matrix- first SVD...
12:43:31,4.84e-05,starting REDSVD
12:43:31,0.0006415,retrieving REDSVD components
12:43:31,4.64e-05,triming REDSVD components to 27elements
12:43:31,3.94e-05,done REDSVD
12:43:31,0.0001172,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:31,1.09e-05,JS
12:43:31,0.0107073,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:31,0.0266943,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:31,4.85e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:31,0.0001071,starting REDSVD
12:43:31,0.0008352,retrieving REDSVD components
12:43:31,5.18e-05,triming REDSVD components to 27elements
12:43:31,4.12e-05,done REDSVD
12:43:31,1.32e-05,SVD factorization complete
12:43:31,0.0017324,commencing linear algebra multiplication to compute ugrade
12:43:31,1.82e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:31,1.59e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:31,1.57e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:31,0.0096472,linear algebra multiplication to compute ugrade complete
12:43:31,0.0015672,error computing upgrade vector for lambda 0.1, skipping : not normal floating point in upgrade pars: RCR7D,
12:43:31,0.0001199,beginning upgrade vector calculations, lambda = 1
12:43:31,0.0002021,commencing calculation of upgrade vector
12:43:31,0.139894,forming JtQJ matrix
12:43:31,0.0273624,commencing to scale JtQJ matrix- first SVD...
12:43:31,4.58e-05,starting REDSVD
12:43:31,0.0006041,retrieving REDSVD components
12:43:31,3.94e-05,triming REDSVD components to 27elements
12:43:31,4.31e-05,done REDSVD
12:43:31,0.0001342,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:31,1.1e-05,JS
12:43:31,0.0104234,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:31,0.0461657,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:31,5.58e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:31,1.38e-05,starting REDSVD
12:43:31,0.000767,retrieving REDSVD components
12:43:31,4.22e-05,triming REDSVD components to 27elements
12:43:31,3.59e-05,done REDSVD
12:43:31,1.16e-05,SVD factorization complete
12:43:31,0.0014534,commencing linear algebra multiplication to compute ugrade
12:43:31,1.46e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:31,1.38e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:31,1.4e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:31,0.010079,linear algebra multiplication to compute ugrade complete
12:43:31,0.0005997,commencing check of parameter bounds and gradients
12:43:31,4.42e-05,commencing calculation of upgrade vector
12:43:31,0.11949,forming JtQJ matrix
12:43:31,0.0270746,commencing to scale JtQJ matrix- first SVD...
12:43:31,5.19e-05,starting REDSVD
12:43:31,0.000661,retrieving REDSVD components
12:43:31,4.14e-05,triming REDSVD components to 27elements
12:43:31,3.93e-05,done REDSVD
12:43:31,0.0001157,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:31,1.07e-05,JS
12:43:31,0.0107262,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:31,0.0266686,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:31,5.16e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:31,1.46e-05,starting REDSVD
12:43:31,0.000841,retrieving REDSVD components
12:43:31,4.42e-05,triming REDSVD components to 27elements
12:43:31,4.24e-05,done REDSVD
12:43:31,1.3e-05,SVD factorization complete
12:43:31,0.0015036,commencing linear algebra multiplication to compute ugrade
12:43:31,1.35e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:31,1.27e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:31,1.42e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:31,0.0094853,linear algebra multiplication to compute ugrade complete
12:43:31,0.0015016,error computing upgrade vector for lambda 1, skipping : not normal floating point in upgrade pars: RCR7D,
12:43:31,3.79e-05,beginning upgrade vector calculations, lambda = 10
12:43:31,0.0001211,commencing calculation of upgrade vector
12:43:32,0.141329,forming JtQJ matrix
12:43:32,0.0370621,commencing to scale JtQJ matrix- first SVD...
12:43:32,6.06e-05,starting REDSVD
12:43:32,0.0007689,retrieving REDSVD components
12:43:32,4.66e-05,triming REDSVD components to 27elements
12:43:32,5e-05,done REDSVD
12:43:32,0.0001396,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:32,1.29e-05,JS
12:43:32,0.0111738,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:32,0.030002,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:32,5.46e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:32,1.48e-05,starting REDSVD
12:43:32,0.0008626,retrieving REDSVD components
12:43:32,5.58e-05,triming REDSVD components to 27elements
12:43:32,4.37e-05,done REDSVD
12:43:32,1.33e-05,SVD factorization complete
12:43:32,0.0016862,commencing linear algebra multiplication to compute ugrade
12:43:32,1.67e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:32,1.57e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:32,1.58e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:32,0.010605,linear algebra multiplication to compute ugrade complete
12:43:32,0.000663,commencing check of parameter bounds and gradients
12:43:32,4.96e-05,commencing calculation of upgrade vector
12:43:32,0.129017,forming JtQJ matrix
12:43:32,0.0292162,commencing to scale JtQJ matrix- first SVD...
12:43:32,5.73e-05,starting REDSVD
12:43:32,0.0007487,retrieving REDSVD components
12:43:32,4.62e-05,triming REDSVD components to 27elements
12:43:32,4.53e-05,done REDSVD
12:43:32,0.0001356,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:32,1.29e-05,JS
12:43:32,0.0102889,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:32,0.0295219,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:32,5.48e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:32,1.43e-05,starting REDSVD
12:43:32,0.0008397,retrieving REDSVD components
12:43:32,4.51e-05,triming REDSVD components to 27elements
12:43:32,4.34e-05,done REDSVD
12:43:32,1.31e-05,SVD factorization complete
12:43:32,0.0017464,commencing linear algebra multiplication to compute ugrade
12:43:32,1.92e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:32,1.57e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:32,1.63e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:32,0.0100377,linear algebra multiplication to compute ugrade complete
12:43:32,0.0005341,commencing check of parameter bounds
12:43:32,3.46e-05,limiting out of bounds pars
12:43:32,5.66e-05,change limit/bound enforement for lambda 10: upper change limit,RCR4D, scaling factor: 2.97271e-234
12:43:32,0.0008746,checking for denormal floating point values
12:43:32,6.92e-05,transforming upgrade pars to model pars
12:43:32,4.14e-05,writing upgrade vector to csv file
12:43:32,0.001735,beginning upgrade vector calculations, lambda = 100
12:43:32,0.0001946,commencing calculation of upgrade vector
12:43:32,0.13224,forming JtQJ matrix
12:43:32,0.0281279,commencing to scale JtQJ matrix- first SVD...
12:43:32,5.27e-05,starting REDSVD
12:43:32,0.0006705,retrieving REDSVD components
12:43:32,3.98e-05,triming REDSVD components to 27elements
12:43:32,4.48e-05,done REDSVD
12:43:32,0.0001252,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:32,1.21e-05,JS
12:43:32,0.0107971,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:32,0.0272263,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:32,4.87e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:32,1.32e-05,starting REDSVD
12:43:32,0.0009189,retrieving REDSVD components
12:43:32,5.35e-05,triming REDSVD components to 27elements
12:43:32,4.19e-05,done REDSVD
12:43:32,1.33e-05,SVD factorization complete
12:43:32,0.0017408,commencing linear algebra multiplication to compute ugrade
12:43:32,1.73e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:32,1.55e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:32,1.81e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:32,0.0102627,linear algebra multiplication to compute ugrade complete
12:43:32,0.0005445,commencing check of parameter bounds and gradients
12:43:32,4.12e-05,commencing calculation of upgrade vector
12:43:32,0.138773,forming JtQJ matrix
12:43:32,0.027506,commencing to scale JtQJ matrix- first SVD...
12:43:32,5.21e-05,starting REDSVD
12:43:32,0.0007031,retrieving REDSVD components
12:43:32,4.52e-05,triming REDSVD components to 27elements
12:43:32,4.13e-05,done REDSVD
12:43:32,0.0001152,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:32,1.12e-05,JS
12:43:32,0.0098091,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:32,0.0281709,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:32,5.42e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:32,1.41e-05,starting REDSVD
12:43:32,0.0008488,retrieving REDSVD components
12:43:32,4.89e-05,triming REDSVD components to 27elements
12:43:32,3.81e-05,done REDSVD
12:43:32,1.17e-05,SVD factorization complete
12:43:32,0.001455,commencing linear algebra multiplication to compute ugrade
12:43:32,1.41e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:32,1.34e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:32,1.37e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:32,0.0092378,linear algebra multiplication to compute ugrade complete
12:43:32,0.0005018,commencing check of parameter bounds
12:43:32,3.39e-05,limiting out of bounds pars
12:43:32,4.62e-05,change limit/bound enforement for lambda 100: upper change limit,RCR4D, scaling factor: 4.43664e-89
12:43:32,0.0014621,checking for denormal floating point values
12:43:32,8.93e-05,transforming upgrade pars to model pars
12:43:32,7.78e-05,writing upgrade vector to csv file
12:43:32,0.0024628,beginning upgrade vector calculations, lambda = 1000
12:43:32,0.0002241,commencing calculation of upgrade vector
12:43:32,0.132422,forming JtQJ matrix
12:43:33,0.0266334,commencing to scale JtQJ matrix- first SVD...
12:43:33,6.12e-05,starting REDSVD
12:43:33,0.0007414,retrieving REDSVD components
12:43:33,4.39e-05,triming REDSVD components to 27elements
12:43:33,4.34e-05,done REDSVD
12:43:33,0.000154,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:33,1.35e-05,JS
12:43:33,0.0104723,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:33,0.0277127,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:33,4.83e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:33,1.48e-05,starting REDSVD
12:43:33,0.0008634,retrieving REDSVD components
12:43:33,5.44e-05,triming REDSVD components to 27elements
12:43:33,4.13e-05,done REDSVD
12:43:33,1.32e-05,SVD factorization complete
12:43:33,0.0016611,commencing linear algebra multiplication to compute ugrade
12:43:33,1.54e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:33,1.39e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:33,1.58e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:33,0.0094208,linear algebra multiplication to compute ugrade complete
12:43:33,0.0005025,commencing check of parameter bounds and gradients
12:43:33,3.93e-05,commencing calculation of upgrade vector
12:43:33,0.15222,forming JtQJ matrix
12:43:33,0.030372,commencing to scale JtQJ matrix- first SVD...
12:43:33,6.34e-05,starting REDSVD
12:43:33,0.0007589,retrieving REDSVD components
12:43:33,4.75e-05,triming REDSVD components to 27elements
12:43:33,4.56e-05,done REDSVD
12:43:33,0.000135,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:33,1.29e-05,JS
12:43:33,0.0115221,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:33,0.0304689,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37
12:43:33,5.54e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:33,9.36e-05,starting REDSVD
12:43:33,0.0008576,retrieving REDSVD components
12:43:33,5.47e-05,triming REDSVD components to 27elements
12:43:33,4.24e-05,done REDSVD
12:43:33,1.38e-05,SVD factorization complete
12:43:33,0.0018048,commencing linear algebra multiplication to compute ugrade
12:43:33,2.13e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 37Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 999
12:43:33,1.62e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 999
12:43:33,1.62e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 256108
12:43:33,0.0104688,linear algebra multiplication to compute ugrade complete
12:43:33,0.0006206,commencing check of parameter bounds
12:43:33,3.67e-05,limiting out of bounds pars
12:43:33,5.31e-05,change limit/bound enforement for lambda 1000: upper change limit,RCS6D, scaling factor: 1.67427e-35
12:43:33,0.000706,checking for denormal floating point values
12:43:33,6.7e-05,transforming upgrade pars to model pars
12:43:33,4.53e-05,writing upgrade vector to csv file
12:43:33,0.0110061,LinearAnalysis::glm_iter_fosm
12:43:33,0.0047301,starting FOSM uncertainty analyses for iteration 0
12:43:33,0.157537,loading obscov
12:43:33,0.0067399,loading parcov
12:43:33,0.0015883,setting predictions
12:43:33,6.9e-05,set_predictions
12:43:33,0.0111634,extracting prediction Q1 from jacobian
12:43:33,0.0693562,Prediction Q1 has no non-zero entries in jacobian row/
12:43:33,8e-05,extracting prediction Q2 from jacobian
12:43:33,0.0655115,Prediction Q2 has no non-zero entries in jacobian row/
12:43:33,7.53e-05,extracting prediction Q3 from jacobian
12:43:33,0.0744367,extracting prediction Q4 from jacobian
12:43:33,0.0617451,extracting prediction Q5 from jacobian
12:43:33,0.0640947,extracting prediction Q6 from jacobian
12:43:33,0.0626718,extracting prediction Q7 from jacobian
12:43:33,0.0635172,extracting prediction Q8 from jacobian
12:43:34,0.0638234,extracting prediction Q9 from jacobian
12:43:34,0.0621796,extracting prediction Q10 from jacobian
12:43:34,0.0757082,extracting prediction Q11 from jacobian
12:43:34,0.070345,extracting prediction Q12 from jacobian
12:43:34,0.0766019,extracting prediction Q13 from jacobian
12:43:34,0.0672439,extracting prediction Q14 from jacobian
12:43:34,0.0621348,extracting prediction Q15 from jacobian
12:43:34,0.0620005,extracting prediction Q16 from jacobian
12:43:34,0.0626084,extracting prediction Q17 from jacobian
12:43:34,0.0632715,extracting prediction Q18 from jacobian
12:43:34,0.063641,extracting prediction Q19 from jacobian
12:43:34,0.0619691,extracting prediction Q20 from jacobian
12:43:34,0.0618691,extracting prediction Q21 from jacobian
12:43:34,0.0631282,extracting prediction Q22 from jacobian
12:43:34,0.062975,extracting prediction Q23 from jacobian
12:43:35,0.0636256,extracting prediction Q24 from jacobian
12:43:35,0.0651658,extracting prediction Q25 from jacobian
12:43:35,0.0835973,extracting prediction Q26 from jacobian
12:43:35,0.0709991,extracting prediction Q27 from jacobian
12:43:35,0.0709906,extracting prediction Q28 from jacobian
12:43:35,0.0685229,extracting prediction Q29 from jacobian
12:43:35,0.0650859,extracting prediction Q30 from jacobian
12:43:35,0.0626878,extracting prediction Q31 from jacobian
12:43:35,0.0618619,extracting prediction Q32 from jacobian
12:43:35,0.0641777,extracting prediction Q33 from jacobian
12:43:35,0.0670563,extracting prediction Q34 from jacobian
12:43:35,0.0638721,extracting prediction Q35 from jacobian
12:43:35,0.0621553,extracting prediction Q36 from jacobian
12:43:35,0.0625954,extracting prediction Q37 from jacobian
12:43:35,0.0628342,extracting prediction Q38 from jacobian
12:43:36,0.0647064,extracting prediction Q39 from jacobian
12:43:36,0.0645295,extracting prediction Q40 from jacobian
12:43:36,0.0649687,extracting prediction Q41 from jacobian
12:43:36,0.0691322,extracting prediction Q42 from jacobian
12:43:36,0.0704416,extracting prediction Q43 from jacobian
12:43:36,0.0694391,extracting prediction Q44 from jacobian
12:43:36,0.0654067,extracting prediction Q45 from jacobian
12:43:36,0.0644379,extracting prediction Q46 from jacobian
12:43:36,0.0630799,extracting prediction Q47 from jacobian
12:43:36,0.0634958,extracting prediction Q48 from jacobian
12:43:36,0.0644557,extracting prediction Q49 from jacobian
12:43:36,0.0626896,extracting prediction Q50 from jacobian
12:43:36,0.0624712,extracting prediction Q51 from jacobian
12:43:36,0.0638847,extracting prediction Q52 from jacobian
12:43:36,0.0650421,extracting prediction Q53 from jacobian
12:43:36,0.0663769,extracting prediction Q54 from jacobian
12:43:37,0.0631178,extracting prediction Q55 from jacobian
12:43:37,0.0607401,extracting prediction Q56 from jacobian
12:43:37,0.0703011,extracting prediction Q57 from jacobian
12:43:37,0.0690328,extracting prediction Q58 from jacobian
12:43:37,0.0672701,extracting prediction Q59 from jacobian
12:43:37,0.0671764,extracting prediction Q61 from jacobian
12:43:37,0.0650827,extracting prediction Q62 from jacobian
12:43:37,0.0628895,extracting prediction Q63 from jacobian
12:43:37,0.0630781,extracting prediction Q64 from jacobian
12:43:37,0.062002,extracting prediction Q65 from jacobian
12:43:37,0.063441,extracting prediction Q66 from jacobian
12:43:37,0.062248,extracting prediction Q67 from jacobian
12:43:37,0.060318,extracting prediction Q68 from jacobian
12:43:37,0.0624105,extracting prediction Q69 from jacobian
12:43:37,0.0605986,extracting prediction Q70 from jacobian
12:43:38,0.0600379,extracting prediction Q71 from jacobian
12:43:38,0.0624275,extracting prediction Q72 from jacobian
12:43:38,0.0647428,extracting prediction Q73 from jacobian
12:43:38,0.0700811,extracting prediction Q74 from jacobian
12:43:38,0.0690964,extracting prediction Q75 from jacobian
12:43:38,0.0689475,extracting prediction Q76 from jacobian
12:43:38,0.0642354,extracting prediction Q77 from jacobian
12:43:38,0.0620271,extracting prediction Q78 from jacobian
12:43:38,0.0601491,extracting prediction Q79 from jacobian
12:43:38,0.0624446,extracting prediction Q80 from jacobian
12:43:38,0.0610198,extracting prediction Q81 from jacobian
12:43:38,0.0597202,extracting prediction Q82 from jacobian
12:43:38,0.0601262,extracting prediction Q83 from jacobian
12:43:38,0.0608123,extracting prediction Q84 from jacobian
12:43:38,0.0612588,extracting prediction Q85 from jacobian
12:43:38,0.0622671,extracting prediction Q86 from jacobian
12:43:39,0.0617789,extracting prediction Q87 from jacobian
12:43:39,0.061356,extracting prediction Q88 from jacobian
12:43:39,0.0626639,extracting prediction Q89 from jacobian
12:43:39,0.0681821,extracting prediction Q90 from jacobian
12:43:39,0.0692166,extracting prediction Q91 from jacobian
12:43:39,0.0671274,extracting prediction Q92 from jacobian
12:43:39,0.0642768,extracting prediction Q93 from jacobian
12:43:39,0.0593373,extracting prediction Q94 from jacobian
12:43:39,0.0610232,extracting prediction Q95 from jacobian
12:43:39,0.0631492,extracting prediction Q96 from jacobian
12:43:39,0.0606253,extracting prediction Q97 from jacobian
12:43:39,0.0697439,extracting prediction Q98 from jacobian
12:43:39,0.0602065,extracting prediction Q99 from jacobian
12:43:39,0.0618191,parameter fosm calcs
12:43:39,7.23e-05,LinearAnalysis::calc_posterior
12:43:39,1.34e-05,LinearAnalysis::align
12:43:39,0.0214318,LinearAnalysis::prior_prediction_variance()::invert obscov
12:43:39,5.69e-05,inverting diagonal matrix in place
12:43:39,0.0006809,LinearAnalysis::calc_posterior() form JtQJ
12:43:39,0.0446922,LinearAnalysis::calc_posterior() invert prior parcov
12:43:39,9.83e-05,LinearAnalysis::calc_posterior() form posterior parcov
12:43:39,5.97e-05,LinearAnalysis::calc_posterior() invert posterior parcov
12:43:39,1.19e-05,inverting non-diagonal matrix in place
12:43:39,0.0179519,forecast FOSM calcs
12:43:39,0.0044871,LinearAnalysis::prior_prediction_variance
12:43:39,0.0018249,LinearAnalysis::prior_prediction_variance
12:43:57,17.1511,completed iteration 1
12:43:57,0.599857,beginning iteration 2
12:43:57,0.0002354,commencing to build jacobian parameter sets
12:43:57,0.0386001,jacobian parameter sets built, commencing model runs
12:44:35,38.1132,jacobian runs complete, processing runs
12:44:35,0.0418608,processing jacobian runs complete
12:44:35,5.83e-05,saving jacobian and sen files
12:44:36,0.207786,commencing calculation of upgrade vector
12:44:36,0.109863,forming JtQJ matrix
12:44:36,0.0338137,commencing to scale JtQJ matrix- first SVD...
12:44:36,5.72e-05,starting REDSVD
12:44:36,0.0008677,retrieving REDSVD components
12:44:36,4.67e-05,triming REDSVD components to 32elements
12:44:36,5.66e-05,done REDSVD
12:44:36,0.0001346,S info: rows = 46: cols = 46: size = 2116: nonzeros = 40
12:44:36,1.11e-05,JS
12:44:36,0.0110505,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:44:36,0.0358702,S info: rows = 46: cols = 46: size = 2116: nonzeros = 40
12:44:36,4.74e-05,commencing SVD factorization of lambda-scaled JtQJ
12:44:36,1.26e-05,starting REDSVD
12:44:36,0.0011035,retrieving REDSVD components
12:44:36,4.65e-05,triming REDSVD components to 32elements
12:44:36,4.22e-05,done REDSVD
12:44:36,1.19e-05,SVD factorization complete
12:44:36,0.0020197,commencing linear algebra multiplication to compute ugrade
12:44:36,1.89e-05,S info: rows = 46: cols = 46: size = 2116: nonzeros = 40Vt info: rows = 32: cols = 46: size = 1472: nonzeros = 1280
12:44:36,1.59e-05,U info: rows = 46: cols = 32: size = 1472: nonzeros = 1280
12:44:36,1.57e-05,jac info: rows = 12076: cols = 46: size = 555496: nonzeros = 323110
12:44:36,0.0107423,linear algebra multiplication to compute ugrade complete
12:44:36,0.0009275,commencing check of parameter bounds and gradients
12:44:36,0.0187573,beginning upgrade vector calculations, lambda = 0.1
12:44:36,0.0002174,commencing calculation of upgrade vector
12:44:36,0.145489,forming JtQJ matrix
12:44:36,0.0280046,commencing to scale JtQJ matrix- first SVD...
12:44:36,5.46e-05,starting REDSVD
12:44:36,0.0005955,retrieving REDSVD components
12:44:36,3.98e-05,triming REDSVD components to 27elements
12:44:36,4.19e-05,done REDSVD
12:44:36,0.0001044,S info: rows = 41: cols = 41: size = 1681: nonzeros = 35
12:44:36,1.16e-05,JS
12:44:36,0.0094055,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:44:36,0.0273069,S info: rows = 41: cols = 41: size = 1681: nonzeros = 35
12:44:36,5.41e-05,commencing SVD factorization of lambda-scaled JtQJ
12:44:36,1.85e-05,starting REDSVD
12:44:36,0.0007969,retrieving REDSVD components
12:44:36,4.8e-05,triming REDSVD components to 27elements
12:44:36,4e-05,done REDSVD
12:44:36,1.34e-05,SVD factorization complete
12:44:36,0.0016849,commencing linear algebra multiplication to compute ugrade
12:44:36,1.69e-05,S info: rows = 41: cols = 41: size = 1681: nonzeros = 35Vt info: rows = 27: cols = 41: size = 1107: nonzeros = 945
12:44:36,1.61e-05,U info: rows = 41: cols = 27: size = 1107: nonzeros = 945
12:44:36,1.64e-05,jac info: rows = 12076: cols = 41: size = 495116: nonzeros = 279668
12:44:36,0.0095442,linear algebra multiplication to compute ugrade complete
12:44:36,0.0005198,commencing check of parameter bounds and gradients
12:44:36,4.02e-05,commencing calculation of upgrade vector
12:44:36,0.12405,forming JtQJ matrix
12:44:36,0.0275421,commencing to scale JtQJ matrix- first SVD...
12:44:36,5.6e-05,starting REDSVD
12:44:36,0.0007167,retrieving REDSVD components
12:44:36,4.64e-05,triming REDSVD components to 27elements
12:44:36,4.38e-05,done REDSVD
12:44:36,0.0001206,S info: rows = 41: cols = 41: size = 1681: nonzeros = 35
12:44:36,1.26e-05,JS
