Río Chalinga Nodes and Reaches, 0 \ Headflow, 1 \ CA_Gabino Outflow, 2 \ Reach, 3 \ Río Chalinga en La Palmilla (gauge), 3 \ ZR_Gavino Runoff, 4 \ Reach, 5 \ CL_09 Inflow, 6 \ Reach, 7 \ CA_Destiladera Outflow, 8 \ Reach, 9 \ CA_Destiladera Outflow 2,10 \ Reach,11 \ ZR_Destiladera Runoff,12 \ Reach,13 \ CA_Batuco Chalinga Outflow,14 \ Reach,15 \ ZR_Batuco Chalinga Runoff,16 \ Reach,17 \ CA_Molino de Zapallar Outflow,18 \ Reach,19 \ ZR_Molino de Zapallar Runoff,20 \ Reach,21 \ CA_Toma Ranque Outflow,22 \ Reach,23 \ ZR_Ranque Runoff,24 \ Reach,25 \ CA_Palquial Outflow,26 \ Reach,27 \ ZR_Palquial Runoff,28 \ Reach,29 \ CA_Valentino Outflow,30 \ Reach,31 \ ZR_Valentino Runoff,32 \ Reach,33 \ CA_Maravillal Outflow,34 \ Reach,35 \ ZR_Maravillal Runoff,36 \ Reach,37 \ CA_Alameda Outflow,38 \ Reach,39 \ ZR_Alameda Runoff,40 \ Reach,41 \ CA_Cunlagua Outflow,42 \ Reach,43 \ ZR_Cunlagua Runoff,44 \ Reach,45 \ CA_Los Guindos Outflow,46 \ Reach,47 \ ZR_Los Guindos Runoff,48 \ Reach,49 \ CA_Huanque Outflow,50 \ Reach,51 \ ZR_Huanque Runoff,52 \ Reach,53 \ CA_Chanar Chalinga Outflow,54 \ Reach,55 \ ZR_Chanar Chalinga Runoff,56 \ Reach,57 \ CA_Arboleda Grande Outflow,58 \ Reach,59 \ ZR_Arboleda Grande Runoff,60 \ Reach,61 \ CA_Chalinga Outflow,62 \ Reach,63 \ ZR_Chalinga Runoff,64 \ Reach,65 \ ZR_Tebal Runoff,66 \ Reach,67 \ CA_Tebal Outflow,68 \ Reach,69 \ ZR_Chilcas Runoff,70 \ Reach,71 \ CA_Chilcas Outflow,71 \ PC_DES_CHALINGA (gauge),72 \ Reach
feb-90,0.962413,0.932413,0.932413,0.962414,0.932413,0.942441,1.24778,1.2353,1.2353,1.2353,1.1593,1.1593,1.1593,1.19989,0.899886,0.899886,0.928505,1.03123,0.972227,0.972227,0.980327,1.30972,1.29772,1.29772,1.29983,1.31124,1.02124,1.02124,1.05244,1.22976,1.21156,1.21156,1.21179,1.22107,1.18951,1.18951,1.19287,1.20895,1.18095,1.18095,1.18313,1.34362,1.14362,1.14362,1.15878,1.23929,1.21129,1.21129,1.21211,1.21295,1.07295,1.07295,1.08478,1.133,1.083,1.083,1.08353,1.11307,0.96307,0.96307,0.97771,1.01684,0.897842,0.897842,0.907431,0.957636,0.989365,1.11429,0.884292,0.884292,0.900021,0.900021,0.780021,0,0.780021
mar-90,0.839419,0.809419,0.809419,0.839419,0.809419,0.818476,1.05053,1.04003,1.04003,1.04003,0.964026,0.964026,0.964026,1.00068,0.700682,0.700682,0.72142,0.8142,0.7552,0.7552,0.760237,1.05459,1.04259,1.04259,1.04382,1.05412,0.764123,0.764123,0.785108,0.945265,0.927065,0.927065,0.927227,0.935603,0.904043,0.904043,0.906646,0.921171,0.893171,0.893171,0.894446,1.03716,0.837161,0.837161,0.846405,0.91912,0.89112,0.89112,0.891449,0.899315,0.759315,0.759315,0.765786,0.809341,0.759341,0.759341,0.759613,0.788941,0.638941,0.638941,0.647776,0.683121,0.564121,0.564121,0.569705,0.615051,0.63193,0.744768,0.514768,0.514768,0.522757,0.522757,0.402757,0,0.402757
abr-90,0.844232,0.814232,0.814232,0.844233,0.814232,0.82426,1.02301,1.01278,1.01278,1.01278,0.936784,0.936784,0.936784,0.977367,0.677367,0.677367,0.690934,0.793656,0.734656,0.734656,0.737733,1.06276,1.05076,1.05076,1.05146,1.06287,0.77287,0.77287,0.78541,0.962727,0.944527,0.944527,0.944617,0.95389,0.92233,0.92233,0.923971,0.940052,0.912052,0.912052,0.912799,1.07087,0.870865,0.870865,0.876425,0.956931,0.928931,0.928931,0.929162,0.941211,0.801211,0.801211,0.805271,0.853493,0.803493,0.803493,0.803648,0.838175,0.688175,0.688175,0.693483,0.732615,0.613615,0.613615,0.616896,0.667102,0.677305,0.802232,0.572232,0.572232,0.576784,0.576784,0.456784,0,0.456784
may-90,0.850224,0.820224,0.820224,0.850226,0.820224,0.829928,1.39252,1.37859,1.37859,1.37859,1.30259,1.30259,1.30259,1.34187,1.04187,1.04187,1.04692,1.12323,1.06423,1.06423,1.06504,1.37964,1.36764,1.36764,1.36785,1.37889,1.08889,1.08889,1.09383,1.26543,1.24723,1.24723,1.24727,1.25624,1.22468,1.22468,1.22551,1.24107,1.21307,1.21307,1.21344,1.35917,1.15917,1.15917,1.16161,1.23952,1.21152,1.21152,1.21166,1.22395,1.08395,1.08395,1.08609,1.13276,1.08276,1.08276,1.08284,1.11715,0.96715,0.96715,0.968946,1.00682,0.887815,0.887815,0.88931,0.937895,0.943042,1.06394,0.833939,0.833939,0.836098,0.836098,0.716098,0,0.716098
jun-90,1.2778,1.2478,1.2478,1.2778,1.2478,1.25782,1.62302,1.60679,1.60679,1.60679,1.53079,1.53079,1.53079,1.57137,1.27137,1.27137,1.27389,1.35725,1.29825,1.29825,1.2985,1.62716,1.61516,1.61516,1.61521,1.62662,1.33662,1.33662,1.33833,1.51564,1.49744,1.49744,1.49745,1.50672,1.47516,1.47516,1.47554,1.49162,1.46362,1.46362,1.46368,1.61586,1.41586,1.41586,1.4165,1.497,1.469,1.469,1.46904,1.48238,1.34238,1.34238,1.34307,1.39129,1.34129,1.34129,1.34131,1.37736,1.22736,1.22736,1.22786,1.26699,1.14799,1.14799,1.14857,1.19877,1.2002,1.32512,1.09512,1.09512,1.09584,1.09584,0.975842,0,0.975842
jul-90,1.32677,1.29677,1.29677,1.32677,1.29677,1.30648,1.59334,1.57741,1.57741,1.57741,1.50141,1.50141,1.50141,1.54068,1.24068,1.24068,1.24191,1.32445,1.26545,1.26545,1.26585,1.58578,1.57378,1.57378,1.57395,1.58499,1.29499,1.29499,1.29722,1.46882,1.45062,1.45062,1.45067,1.45965,1.42809,1.42809,1.42813,1.44369,1.41569,1.41569,1.416,1.5653,1.3653,1.3653,1.36701,1.44492,1.41692,1.41692,1.41697,1.43055,1.29055,1.29055,1.29169,1.33835,1.28835,1.28835,1.28841,1.32375,1.17375,1.17375,1.17597,1.21384,1.09484,1.09484,1.09655,1.14513,1.15021,1.2711,1.0411,1.0411,1.04406,1.04406,0.924063,0,0.924063
ago-90,1.14161,1.11161,1.11161,1.14161,1.11161,1.12164,1.34945,1.33596,1.33596,1.33596,1.25996,1.25996,1.25996,1.30054,1.00054,1.00054,1.00403,1.09983,1.04083,1.04083,1.04181,1.37126,1.35926,1.35926,1.3595,1.37091,1.08091,1.08091,1.08391,1.26123,1.24303,1.24303,1.24304,1.25231,1.22075,1.22075,1.22117,1.23725,1.20925,1.20925,1.20939,1.36654,1.16654,1.16654,1.16789,1.2484,1.2204,1.2204,1.22055,1.23482,1.09482,1.09482,1.09641,1.14463,1.09463,1.09463,1.09468,1.13137,0.981366,0.981366,0.982875,1.02201,0.903007,0.903007,0.904171,0.954376,0.957932,1.08286,0.852859,0.852859,0.854648,0.854648,0.734648,0,0.734648
sept-90,1.73433,1.70433,1.70433,1.73433,1.70433,1.71436,1.99361,1.97367,1.97367,1.97367,1.89767,1.89767,1.89767,1.93825,1.63825,1.63825,1.64575,1.74321,1.68421,1.68421,1.68655,2.01344,2.00144,2.00144,2.002,2.01341,1.72341,1.72341,1.73099,1.90831,1.89011,1.89011,1.89012,1.89939,1.86783,1.86783,1.86878,1.88486,1.85686,1.85686,1.85731,2.00613,1.80613,1.80613,1.80991,1.89041,1.86241,1.86241,1.86278,1.87599,1.73599,1.73599,1.73968,1.78791,1.73791,1.73791,1.73805,1.77435,1.62435,1.62435,1.62827,1.6674,1.5484,1.5484,1.55092,1.60113,1.60952,1.73445,1.50445,1.50445,1.50853,1.50853,1.38853,0,1.38853
oct-90,2.2587,2.2287,2.2287,2.2587,2.2287,2.2384,2.49916,2.47417,2.47417,2.47417,2.39817,2.39817,2.39817,2.43744,2.13744,2.13744,2.15513,2.2515,2.1925,2.1925,2.19833,2.52063,2.50863,2.50863,2.51013,2.52117,2.23117,2.23117,2.25202,2.42362,2.40542,2.40542,2.40554,2.41451,2.38295,2.38295,2.38519,2.40075,2.37275,2.37275,2.37445,2.51881,2.31881,2.31881,2.33055,2.40845,2.38045,2.38045,2.38147,2.3929,2.2529,2.2529,2.26406,2.31072,2.26072,2.26072,2.26119,2.29555,2.14555,2.14555,2.1571,2.19497,2.07597,2.07597,2.08355,2.13214,2.16049,2.28138,2.05138,2.05138,2.06481,2.06481,1.94481,0,1.94481
nov-90,2.22749,2.19749,2.19749,2.22749,2.19749,2.20752,2.4481,2.42362,2.42362,2.42362,2.34762,2.34762,2.34762,2.3882,2.0882,2.0882,2.1183,2.21521,2.15621,2.15621,2.16746,2.50638,2.49438,2.49438,2.49727,2.50868,2.21868,2.21868,2.25513,2.43245,2.41425,2.41425,2.41446,2.42373,2.39217,2.39217,2.39536,2.41144,2.38344,2.38344,2.38668,2.54265,2.34265,2.34265,2.36419,2.44469,2.41669,2.41669,2.41867,2.42611,2.28611,2.28611,2.30679,2.35502,2.30502,2.30502,2.30585,2.33885,2.18885,2.18885,2.2069,2.24604,2.12704,2.12704,2.14096,2.19116,2.24472,2.36964,2.13964,2.13964,2.16506,2.16506,2.04506,0,2.04506
dic-90,2.12444,2.09444,2.09444,2.12444,2.09444,2.10414,2.34398,2.32054,2.32054,2.32054,2.24454,2.24454,2.24454,2.28381,1.98381,1.98381,2.02074,2.11351,2.05451,2.05451,2.06829,2.3958,2.3838,2.3838,2.38729,2.39833,2.10833,2.10833,2.15282,2.32442,2.30622,2.30622,2.30649,2.31546,2.2839,2.2839,2.2876,2.30316,2.27516,2.27516,2.27906,2.43017,2.23017,2.23017,2.25579,2.33369,2.30569,2.30569,2.30781,2.30874,2.16874,2.16874,2.19277,2.23943,2.18943,2.18943,2.19042,2.2195,2.0695,2.0695,2.08756,2.12543,2.00643,2.00643,2.02283,2.07142,2.12892,2.24982,2.01982,2.01982,2.0487,2.0487,1.9287,0,1.9287
ene-91,2.0197,1.9897,1.9897,2.0197,1.9897,1.99973,2.2388,2.21641,2.21641,2.21641,2.14041,2.14041,2.14041,2.18099,1.88099,1.88099,1.91736,2.01026,1.95126,1.95126,1.96412,2.30233,2.29033,2.29033,2.29359,2.305,2.015,2.015,2.05786,2.23518,2.21698,2.21698,2.21725,2.22652,2.19496,2.19496,2.19872,2.2148,2.1868,2.1868,2.19044,2.34813,2.14813,2.14813,2.172,2.25251,2.22451,2.22451,2.2265,2.2265,2.0865,2.0865,2.10847,2.15669,2.10669,2.10669,2.10759,2.13647,1.98647,1.98647,2.00452,2.04365,1.92465,1.92465,1.93985,1.99005,2.0472,2.17213,1.94213,1.94213,1.96934,1.96934,1.84934,0,1.84934
feb-91,1.91834,1.88834,1.88834,1.91834,1.88834,1.89836,2.1367,2.11533,2.11533,2.11533,2.03933,2.03933,2.03933,2.07992,1.77992,1.77992,1.80923,1.89784,1.83884,1.83884,1.84694,2.18491,2.17291,2.17291,2.17502,2.18642,1.89642,1.89642,1.92763,2.10495,2.08675,2.08675,2.08698,2.09625,2.06469,2.06469,2.06805,2.08413,2.05613,2.05613,2.05832,2.21694,2.01694,2.01694,2.0321,2.1126,2.0846,2.0846,2.08543,2.08627,1.94627,1.94627,1.95809,2.00632,1.95632,1.95632,1.95685,1.98638,1.83638,1.83638,1.85102,1.89016,1.77116,1.77116,1.78075,1.83095,1.86268,1.98761,1.75761,1.75761,1.77334,1.77334,1.65334,0,1.65334
mar-91,1.81697,1.78697,1.78697,1.81698,1.78697,1.79603,2.03363,2.0133,2.0133,2.0133,1.9373,1.9373,1.9373,1.97395,1.67395,1.67395,1.69551,1.77128,1.71228,1.71228,1.71732,2.02176,2.00976,2.00976,2.011,2.0213,1.7313,1.7313,1.75229,1.91244,1.89424,1.89424,1.8944,1.90278,1.87122,1.87122,1.87382,1.88835,1.86035,1.86035,1.86162,2.00272,1.80272,1.80272,1.81197,1.88468,1.85668,1.85668,1.85701,1.86488,1.72488,1.72488,1.73135,1.7749,1.7249,1.7249,1.72517,1.7545,1.6045,1.6045,1.61334,1.64868,1.52968,1.52968,1.53527,1.58061,1.59749,1.71033,1.48033,1.48033,1.48832,1.48832,1.36832,0,1.36832
abr-91,1.71392,1.68392,1.68392,1.71392,1.68392,1.69395,1.93081,1.9115,1.9115,1.9115,1.8355,1.8355,1.8355,1.87608,1.57608,1.57608,1.58929,1.6696,1.6106,1.6106,1.61356,1.95112,1.93912,1.93912,1.93979,1.9512,1.6612,1.6612,1.67329,1.8506,1.8324,1.8324,1.83249,1.84176,1.8102,1.8102,1.8118,1.82788,1.79988,1.79988,1.80059,1.95963,1.75963,1.75963,1.76491,1.84542,1.81742,1.81742,1.81763,1.82967,1.68967,1.68967,1.6936,1.74183,1.69183,1.69183,1.69197,1.7265,1.5765,1.5765,1.58166,1.62079,1.50179,1.50179,1.50498,1.55519,1.56468,1.68961,1.45961,1.45961,1.46399,1.46399,1.34399,0,1.34399
may-91,1.61087,1.58087,1.58087,1.61087,1.58087,1.59057,1.82668,1.80841,1.80841,1.80841,1.73241,1.73241,1.73241,1.77169,1.47169,1.47169,1.47447,1.55106,1.49206,1.49206,1.49379,1.8173,1.8053,1.8053,1.80587,1.81691,1.52691,1.52691,1.53069,1.70229,1.68409,1.68409,1.68414,1.69312,1.66156,1.66156,1.66162,1.67718,1.64918,1.64918,1.64975,1.79988,1.59988,1.59988,1.60255,1.68045,1.65245,1.65245,1.65261,1.66505,1.52505,1.52505,1.52668,1.57335,1.52335,1.52335,1.52344,1.55783,1.40783,1.40783,1.41097,1.44884,1.32984,1.32984,1.33132,1.37991,1.38728,1.50818,1.27818,1.27818,1.28122,1.28122,1.16122,0,1.16122
jun-91,1.50782,1.47782,1.47782,1.50782,1.47782,1.48784,1.7232,1.70597,1.70597,1.70597,1.62997,1.62997,1.62997,1.67055,1.37055,1.37055,1.39759,1.48606,1.42706,1.42706,1.43806,1.77057,1.75857,1.75857,1.7622,1.77361,1.48361,1.48361,1.51722,1.69454,1.67634,1.67634,1.6769,1.68617,1.65461,1.65461,1.65618,1.67226,1.64426,1.64426,1.64829,1.80307,1.60307,1.60307,1.62336,1.70387,1.67587,1.67587,1.67678,1.69105,1.55105,1.55105,1.56338,1.6116,1.5616,1.5616,1.56222,1.59891,1.44891,1.44891,1.46808,1.50721,1.38821,1.38821,1.3998,1.45001,1.50055,1.62548,1.39548,1.39548,1.41505,1.41505,1.29505,0,1.29505
jul-91,1.40477,1.37477,1.37477,1.40477,1.37477,1.38447,1.61908,1.60289,1.60289,1.60289,1.52689,1.52689,1.52689,1.56617,1.26617,1.26617,1.26912,1.36853,1.30953,1.30953,1.31049,1.63118,1.61918,1.61918,1.61953,1.63057,1.34057,1.34057,1.34513,1.51673,1.49853,1.49853,1.49862,1.50759,1.47603,1.47603,1.47619,1.49175,1.46375,1.46375,1.46433,1.61497,1.41497,1.41497,1.41809,1.496,1.468,1.468,1.46811,1.48192,1.34192,1.34192,1.34397,1.39064,1.34064,1.34064,1.34073,1.37624,1.22624,1.22624,1.22987,1.26774,1.14874,1.14874,1.15163,1.20022,1.20879,1.32968,1.09968,1.09968,1.10461,1.10461,0.98461,0,0.98461
ago-91,1.30003,1.27003,1.27003,1.30003,1.27003,1.28005,1.51391,1.49877,1.49877,1.49877,1.42277,1.42277,1.42277,1.46335,1.16335,1.16335,1.16964,1.26669,1.20769,1.20769,1.20955,1.53912,1.52712,1.52712,1.52758,1.53899,1.24899,1.24899,1.25531,1.43262,1.41442,1.41442,1.41445,1.42372,1.39216,1.39216,1.39289,1.40897,1.38097,1.38097,1.38141,1.53733,1.33733,1.33733,1.34059,1.42109,1.39309,1.39309,1.3934,1.40767,1.26767,1.26767,1.27077,1.31899,1.26899,1.26899,1.26911,1.30579,1.15579,1.15579,1.15897,1.1981,1.0791,1.0791,1.08118,1.13139,1.13906,1.26399,1.03399,1.03399,1.03744,1.03744,0.917436,0,0.917436
sept-91,1.19698,1.16698,1.16698,1.19698,1.16698,1.177,1.41011,1.39601,1.39601,1.39601,1.32001,1.32001,1.32001,1.36059,1.06059,1.06059,1.0641,1.15935,1.10035,1.10035,1.10155,1.43036,1.41836,1.41836,1.41862,1.43003,1.14003,1.14003,1.1426,1.31991,1.30171,1.30171,1.30177,1.31104,1.27948,1.27948,1.27995,1.29603,1.26803,1.26803,1.26804,1.4245,1.2245,1.2245,1.22519,1.3057,1.2777,1.2777,1.27782,1.29003,1.15003,1.15003,1.15073,1.19895,1.14895,1.14895,1.14899,1.18473,1.03473,1.03473,1.03534,1.07447,0.955473,0.955473,0.955814,1.00602,1.00626,1.13119,0.901189,0.901189,0.901325,0.901325,0.781325,0,0.781325
oct-91,1.10199,1.07199,1.07199,1.10199,1.07199,1.08169,1.3158,1.30264,1.30264,1.30264,1.22664,1.22664,1.22664,1.26591,0.965911,0.965911,0.983597,1.08301,1.02401,1.02401,1.02983,1.34604,1.33404,1.33404,1.33554,1.34658,1.05658,1.05658,1.07744,1.24903,1.23083,1.23083,1.23095,1.23992,1.20836,1.20836,1.2106,1.22616,1.19816,1.19816,1.19986,1.35015,1.15015,1.15015,1.16189,1.2398,1.2118,1.2118,1.21281,1.22583,1.08583,1.08583,1.09699,1.14366,1.09366,1.09366,1.09412,1.12937,0.979365,0.979365,0.990915,1.02878,0.909785,0.909785,0.917364,0.965949,0.994297,1.11519,0.885194,0.885194,0.898618,0.898618,0.778618,0,0.778618
