Nodes and Reaches,CL_09  0 \ Headflow,Río Chalinga  0 \ Headflow
jun-00,0.0974896,0.451466
jul-00,0.14803,0.676288
ago-00,0.188356,0.855675
sept-00,0.346118,1.55747
oct-00,0.511514,2.29322
nov-00,0.511165,2.29167
dic-00,0.432329,1.94096
ene-01,0.282845,1.276
feb-01,0.219106,0.992464
mar-01,0.213795,0.968836
abr-01,0.18167,0.82593
may-01,0.185151,0.841417
jun-01,0.156439,0.7137
jul-01,0.232903,1.05384
ago-01,0.227268,1.02877
sept-01,0.251223,1.13533
oct-01,0.316137,1.4241
nov-01,0.308622,1.39066
dic-01,0.212881,0.964774
ene-02,0.18832,0.855514
feb-02,0.167166,0.761413
mar-02,0.125927,0.577964
abr-02,0.149269,0.681798
may-02,0.186362,0.846804
jun-02,0.398916,1.79233
jul-02,0.306442,1.38097
ago-02,0.617753,2.7658
sept-02,0.517535,2.32
oct-02,0.589904,2.64194
nov-02,0.664028,2.97167
dic-02,0.690341,3.08871
ene-03,0.594691,2.66322
feb-03,0.426645,1.91569
mar-03,0.351111,1.57967
abr-03,0.292436,1.31867
may-03,0.274244,1.23774
jun-03,0.286741,1.29333
jul-03,0.29832,1.34484
ago-03,0.254861,1.15152
sept-03,0.217038,0.983264
oct-03,0.229451,1.03848
nov-03,0.246577,1.11466
dic-03,0.219328,0.993451
ene-04,0.19088,0.866902
feb-04,0.19418,0.881585
mar-04,0.181757,0.826322
abr-04,0.175225,0.797265
may-04,0.161054,0.734226
jun-04,0.131877,0.604433
jul-04,0.127957,0.587
ago-04,0.174397,0.793578
sept-04,0.153367,0.700031
oct-04,0.125981,0.578207
nov-04,0.136065,0.623063
dic-04,0.124411,0.571225
ene-05,0.124498,0.57161
feb-05,0.113032,0.520602
mar-05,0.112025,0.516129
abr-05,0.105328,0.486331
may-05,0.103853,0.479772
jun-05,0.121064,0.556331
jul-05,0.116514,0.536096
ago-05,0.140474,0.642675
sept-05,0.276723,1.24877
oct-05,0.273055,1.23245
nov-05,0.416898,1.87233
dic-05,0.364672,1.64
ene-06,0.279973,1.26322
feb-06,0.221335,1.00238
mar-06,0.194186,0.881612
abr-06,0.176619,0.803465
may-06,0.158777,0.724096
jun-06,0.154132,0.70343
jul-06,0.195085,0.885611
ago-06,0.197145,0.894773
sept-06,0.163768,0.746296
oct-06,0.193621,0.879096
nov-06,0.189695,0.861632
dic-06,0.15679,0.715255
ene-07,0.139698,0.639225
feb-07,0.152426,0.695842
mar-07,0.135825,0.621998
abr-07,0.124143,0.570031
may-07,0.105992,0.489288
jun-07,0.114477,0.527033
jul-07,0.145862,0.666644
ago-07,0.126007,0.578319
sept-07,0.135683,0.621366
oct-07,0.166942,0.760417
nov-07,0.153435,0.700332
dic-07,0.127892,0.586708
ene-08,0.116529,0.53616
feb-08,0.106818,0.492964
mar-08,0.103331,0.477449
abr-08,0.0980066,0.453765
may-08,0.0938605,0.43532
jun-08,0.0959985,0.44483
jul-08,0.10811,0.496494
ago-08,0.209273,0.945915
sept-08,0.239983,1.08533
oct-08,0.290183,1.30864
nov-08,0.375687,1.689
dic-08,0.281786,1.27129
ene-09,0.224882,1.01816
feb-09,0.186467,0.847272
mar-09,0.165078,0.752128
abr-09,0.146481,0.669398
may-09,0.131815,0.604159
jun-09,0.112956,0.520266
jul-09,0.124346,0.570934
ago-09,0.187051,0.849869
sept-09,0.207358,0.940201
oct-09,0.211577,0.958972
nov-09,0.225341,1.0202
dic-09,0.16212,0.738967
ene-10,0.133135,0.610032
feb-10,0.124089,0.569792
mar-10,0.122671,0.563482
abr-10,0.11438,0.526597
may-10,0.117254,0.539385
jun-10,0.112469,0.518098
jul-10,0.117044,0.538448
ago-10,0.109285,0.503935
sept-10,0.112784,0.519498
oct-10,0.112012,0.516066
nov-10,0.112296,0.51733
dic-10,0.0876747,0.407803
ene-11,0.0711264,0.334193
feb-11,0.0679514,0.320069
mar-11,0.0649481,0.30671
abr-11,0.0670289,0.315966
may-11,0.0675224,0.318161
jun-11,0.0685127,0.322566
jul-11,0.0743246,0.348419
ago-11,0.0856224,0.398675
sept-11,0.104136,0.48103
oct-11,0.128565,0.589703
nov-11,0.107718,0.496964
dic-11,0.0671632,0.308118
ene-12,0.0805391,0.376064
feb-12,0.0699282,0.328862
mar-12,0.063411,0.299871
abr-12,0.070446,0.331167
may-12,0.0706045,0.331871
jun-12,0.070566,0.3317
jul-12,0.0672252,0.316838
ago-12,0.0677039,0.318968
sept-12,0.0672014,0.316733
oct-12,0.0650642,0.307226
nov-12,0.0620162,0.293666
dic-12,0.062236,0.294645
ene-13,0.0566887,0.269968
feb-13,0.053874,0.257448
mar-13,0.0535704,0.256097
abr-13,0.0526721,0.2521
may-13,0.0565509,0.269355
jun-13,0.0872438,0.405887
jul-13,0.094894,0.439919
ago-13,0.0575721,0.273898
sept-13,0.0697643,0.328133
oct-13,0.0723301,0.339548
nov-13,0.0858299,0.399599
dic-13,0.0610178,0.289226
ene-14,0.0583348,0.27729
feb-14,0.0600756,0.285034
mar-14,0.0562679,0.268097
abr-14,0.0549348,0.262167
may-14,0.0520766,0.249452
jun-14,0.0631624,0.298767
jul-14,0.0515035,0.246903
ago-14,0.0495094,0.238032
sept-14,0.0522971,0.250433
oct-14,0.0549194,0.262097
nov-14,0.0470444,0.227066
dic-14,0.0391323,0.191871
ene-15,0.038001,0.186838
feb-15,0.0383631,0.188448
mar-15,0.0401766,0.196516
abr-15,0.0376329,0.1852
may-15,0.033121,0.165129
jun-15,0.0276968,0.141
jul-15,0.0338099,0.168193
ago-15,0.124404,0.571192
sept-15,0.160928,0.733665
oct-15,0.270227,1.21987
nov-15,0.411879,1.85
dic-15,0.275586,1.24371
ene-16,0.182584,0.829999
feb-16,0.144407,0.660169
mar-16,0.133041,0.60961
abr-16,0.135698,0.621431
may-16,0.107298,0.495094
jun-16,0.399441,1.79466
jul-16,0.253055,1.14348
ago-16,0.168907,0.769161
sept-16,0.195262,0.886397
oct-16,0.23246,1.05187
nov-16,0.257127,1.1616
dic-16,0.161779,0.737451
ene-17,0.134825,0.617548
feb-17,0.0941869,0.436772
mar-17,0.0855862,0.398514
abr-17,0.0613418,0.290667
may-17,0.144651,0.661257
jun-17,0.137589,0.629846
jul-17,0.117038,0.538422
ago-17,0.0903293,0.419612
sept-17,0.0860509,0.400583
oct-17,0.0948682,0.439804
nov-17,0.0980799,0.597045
dic-17,0.0701613,0.688131
ene-18,0.0848148,0.700795
feb-18,0.156932,0.710131
mar-18,0.142272,0.643791
abr-18,0.0932434,0.421933
may-18,0.0595064,0.269272
jun-18,0.0683808,0.30943
jul-18,0.0607803,0.275037
ago-18,0.0485058,0.219493
sept-18,0.0591628,0.267718
oct-18,0.0700907,0.317167
nov-18,0.0615926,0.278712
dic-18,0.0550414,0.249067
ene-19,0.0429742,0.194463
feb-19,0.03638,0.164622
mar-19,0.0296126,0.133999
abr-19,0.024667,0.11162
may-19,0.0252973,0.114472
jun-19,0.0382031,0.172872
jul-19,0.0291971,0.132119
ago-19,0.0174013,0.0787425
sept-19,0.0267941,0.121245
oct-19,0.0295459,0.133697
nov-19,0.0243612,0.110236
dic-19,0.0252055,0.114057
ene-20,0.0283757,0.128402
feb-20,0.027,0.122177
mar-20,0.0222804,0.10082
abr-20,0.0207347,0.093826
may-20,0.0169651,0.0767682
jun-20,0.0451898,0.204488
jul-20,0.0644112,0.291467
ago-20,0.0577946,0.261525
sept-20,0.0552137,0.249847
oct-20,0.0539613,0.24418
nov-20,0.0439834,0.199029
dic-20,0.0356621,0.161374
ene-21,0.0330631,0.149613
feb-21,0.0411448,0.186184
mar-21,0.0503013,0.227618
