,1890,1891,1933,1934,2040
2000-02-11,0.0,0.0,0.0,0.0,0.0
2000-02-12,0.0,0.0,0.0,0.0,0.0
2000-02-13,0.0,0.0,0.0,0.0,0.0
2000-02-14,0.0,0.0,0.0,0.0,0.0
2000-02-15,0.0,0.0,0.0,0.0,0.0
2000-02-16,0.0,0.0,0.0,0.0,0.0
2000-02-17,0.0,0.0,0.0,0.0,0.0
2000-02-18,0.0,0.0,0.0,0.0,0.0
2000-02-19,0.0,0.0,0.0,0.0,0.0
2000-02-20,0.0,0.0,0.0,0.0,0.0
2000-02-21,0.0,0.0,0.0,0.0,0.0
2000-02-22,0.0,0.0,0.0,0.0,0.0
2000-02-23,0.0,0.0,0.0,0.0,0.0
2000-02-24,0.0,0.0,0.0,0.0,0.0
2000-02-25,0.0,0.0,0.0,0.0,0.0
2000-02-26,0.0,0.0,0.0,0.0,0.0
2000-02-27,0.0,0.0,0.0,0.0,0.0
2000-02-28,0.0,0.0,0.0,0.0,0.0
2000-02-29,0.0,0.0,0.0,0.0,0.0
2000-03-01,0.0,0.0,0.0,0.0,0.0
2000-03-02,0.0,0.0,0.0,0.0,0.0
2000-03-03,0.0,0.0,0.0,0.0,0.0
2000-03-04,0.0,0.0,0.0,0.0,0.0
2000-03-05,0.0,0.0,0.0,0.0,0.0
2000-03-06,0.0,0.0,0.0,0.0,0.0
2000-03-07,0.0,0.0,0.0,0.0,0.0
2000-03-08,0.0,0.0,0.0,0.0,0.0
2000-03-09,0.0,0.0,0.0,0.0,0.0
2000-03-10,0.0,0.0,0.0,0.0,0.0
2000-03-11,0.0,0.0,0.0,0.0,0.0
2000-03-12,0.0,0.0,0.0,0.0,0.0
2000-03-13,0.0,0.0,0.0,0.0,0.0
2000-03-14,0.0,0.0,0.0,0.0,0.0
2000-03-15,0.0,0.0,0.0,0.0,0.0
2000-03-16,0.0,0.0,0.0,0.0,0.0
2000-03-17,0.0,0.0,0.0,0.0,0.0
2000-03-18,0.0,0.0,0.0,0.0,0.0
2000-03-19,0.0,0.0,0.0,0.0,0.0
2000-03-20,0.0,0.0,0.0,0.0,0.0
2000-03-21,0.0,0.0,0.0,0.0,0.0
2000-03-22,0.0,0.0,0.0,0.0,0.0
2000-03-23,0.0,0.0,0.0,0.0,0.0
2000-03-24,0.0,0.0,0.0,0.0,0.0
2000-03-25,0.0,0.0,0.0,0.0,0.0
2000-03-26,0.0,0.0,0.0,0.0,0.0
2000-03-27,0.0,0.0,0.0,0.0,0.0
2000-03-28,0.0,0.0,0.0,0.0,0.0
2000-03-29,0.0,0.0,0.0,0.0,0.0
2000-03-30,0.0,0.0,0.0,0.0,0.0
2000-03-31,0.0,0.0,0.0,0.0,0.0
2000-04-01,0.0,0.0,0.0,0.0,0.0
2000-04-02,0.0,0.0,0.0,0.0,0.0
2000-04-03,0.0,0.0,0.0,0.0,0.0
2000-04-04,0.0,0.0,0.0,0.0,0.0
2000-04-05,0.0,0.0,0.0,0.0,0.0
2000-04-06,0.0,0.0,0.0,0.0,0.0
2000-04-07,0.0,0.0,0.0,0.0,0.0
2000-04-08,0.0,0.0,0.0,0.0,0.0
2000-04-09,0.0,0.0,0.0,0.0,0.0
2000-04-10,0.0,0.0,0.0,0.0,0.0
2000-04-11,0.0,0.0,0.0,0.0,0.0
2000-04-12,0.0,0.0,0.0,0.0,0.0
2000-04-13,0.0,0.0,0.0,0.0,0.0
2000-04-14,0.0,0.0,0.2922138971228932,0.0,0.0
2000-04-15,0.0,0.0,0.0,0.0,0.0
2000-04-16,0.0,0.0,0.0,0.0,0.6116592055559158
2000-04-17,0.9247710365056991,0.9247710365056991,0.814674065709114,0.8105139613357084,0.0
2000-04-18,0.896314513683319,0.896314513683319,0.6782983515013096,0.7913724008716385,0.0
2000-04-19,0.816571946144104,0.816571946144104,0.6377781282954438,0.6926811385154724,0.0
2000-04-20,0.629693865776062,0.629693865776062,0.5492243466890134,0.629693865776062,0.0
2000-04-21,0.9463046771287917,0.9463046771287917,0.298010828328687,0.15862601487800992,0.0
2000-04-22,0.6103225755691528,0.6103225755691528,0.0,0.15674589625720317,0.0
2000-04-23,0.7088823229074478,0.7088823229074478,0.5126250556180643,0.5349167283033502,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0
2000-04-25,0.0,0.0,0.0,0.0,0.0
2000-04-26,0.0,0.0,0.0,0.0,0.0
2000-04-27,0.0,0.0,0.0,0.0,0.0
2000-04-28,0.0,0.0,0.0,0.0,0.0
2000-04-29,0.0,0.0,0.0,0.0,0.0
2000-04-30,0.0,0.0,0.0,0.0,0.0
2000-05-01,0.0,0.0,0.0,0.0,0.0
2000-05-02,0.0,0.0,0.0,0.0,0.0
2000-05-03,0.4887413546442985,0.4887413546442985,0.0,0.0,0.0
2000-05-04,0.0,0.0,0.0,0.0,0.0
2000-05-05,0.0,0.0,0.0,0.0,0.0
2000-05-06,0.0,0.0,0.0,0.0,0.0
2000-05-07,0.0,0.0,0.0,0.0,0.0
2000-05-08,0.0,0.0,0.0,0.0,0.0
2000-05-09,0.6982489275932312,0.6982489275932312,0.0,0.6180905615050217,0.4970102426409721
2000-05-10,0.0,0.0,0.0,0.0,0.0
2000-05-11,0.0,0.0,0.0,0.0,0.0
2000-05-12,0.0,0.0,0.0,0.0,0.0
2000-05-13,0.0,0.0,0.0,0.0,0.0
2000-05-14,0.0,0.0,0.0,0.0,0.0
2000-05-15,0.7596361821889878,0.7596361821889878,0.8126961990428524,0.7591805700187025,0.7174313312768936
2000-05-16,0.9126496279239654,0.9126496279239654,0.8321547128017558,0.8859384433359935,0.8880517560243606
2000-05-17,0.8901847529411315,0.8901847529411315,0.8940676836912022,0.8560043847766416,0.8353242886066437
2000-05-18,0.9719788920879364,0.9719788920879364,0.9591200869027956,0.9424428453938715,0.8381624907255173
2000-05-19,0.0,0.0,0.0,0.0,0.0
2000-05-20,0.9378699094057082,0.9378699094057082,0.932849181266718,0.8842381487838152,0.7968414181470871
2000-05-21,0.8907687938213348,0.8907687938213348,0.8390145355463028,0.7896638148200922,0.0
2000-05-22,0.7672596538066864,0.7672596538066864,0.8266862586764402,0.7586292201280593,0.0
2000-05-23,0.9471660256385803,0.9471660256385803,0.7585653036001118,0.919791904091835,0.7667124670743942
2000-05-24,0.0,0.0,0.0,0.4229895893253129,0.0
2000-05-25,0.5595563113689422,0.5595563113689422,0.5856310243939244,0.5789378776632506,0.49733132809400554
2000-05-26,0.0,0.0,0.49471601784229274,0.0,0.0
2000-05-27,0.9024414616823196,0.9024414616823196,0.7536127656143765,0.7362223284408964,0.5200565260648727
2000-05-28,0.7903090023994446,0.7903090023994446,0.6033221341149752,0.0,0.5940000104904175
2000-05-29,0.8802181941270828,0.8802181941270828,0.6196445692070693,0.6011489690994394,0.5464728364348411
2000-05-30,0.6366730749607086,0.6366730749607086,0.0,0.6058495242945079,0.49660906612873074
2000-05-31,0.0,0.0,0.0,0.0,0.0
2000-06-01,0.0,0.0,0.0,0.0,0.0
2000-06-02,0.6356848645210266,0.6356848645210266,0.0,0.6318839606334424,0.0
2000-06-03,0.7494279438257218,0.7494279438257218,0.2772693212642226,0.12568358572392627,0.0
2000-06-04,0.0,0.0,0.0,0.0,0.0
2000-06-05,0.7642874497175216,0.7642874497175216,0.0,0.4853048676252365,0.0
2000-06-06,0.6070072889328003,0.6070072889328003,0.0,0.0,0.0
2000-06-07,0.0,0.0,0.0,0.0,0.0
2000-06-08,0.0,0.0,0.0,0.0,0.0
2000-06-09,0.0,0.0,0.0,0.0,0.0
2000-06-10,0.6887939274311066,0.6887939274311066,0.0,0.0,0.0
2000-06-11,0.0,0.0,0.0,0.0,0.0
2000-06-12,0.0,0.0,0.0,0.0,0.0
2000-06-13,0.0,0.0,0.0,0.0,0.0
2000-06-14,0.0,0.0,0.551290065874887,0.0,0.0
2000-06-15,0.8055574601888656,0.8055574601888656,0.7744719164593276,0.7790117400062495,0.882231108546257
2000-06-16,0.8394923412799835,0.8394923412799835,0.7128934389352798,0.7753516274690628,0.7633355885744094
2000-06-17,0.9473721492290497,0.9473721492290497,0.8886352769579997,0.9496475490413864,0.9819440084695816
2000-06-18,0.8067982405424118,0.8067982405424118,0.7646542602777481,0.8045174763737053,0.870860630273819
2000-06-19,0.647456122636795,0.647456122636795,0.6085712756181871,0.6408584616924154,0.6030690878629684
2000-06-20,0.0,0.0,0.0,0.0,0.0
2000-06-21,0.9166563445329666,0.9166563445329666,0.8810491358263547,0.8685760163027664,0.9238006401062011
2000-06-22,0.8449241089820861,0.8449241089820861,0.7939230184638223,0.8445224736271233,0.815444973707199
2000-06-23,0.0,0.0,0.6460993170460988,0.0,0.0
2000-06-24,0.4960544148087501,0.4960544148087501,0.21436531209668444,0.4988060349225998,0.0
2000-06-25,0.504450092613697,0.504450092613697,0.0,0.0,0.0
2000-06-26,0.873321852684021,0.873321852684021,0.8673616750295771,0.8936626688570811,0.8931021445989609
2000-06-27,0.0,0.0,0.0,0.0,0.0
2000-06-28,0.5950128504633904,0.5950128504633904,0.6019766231054483,0.5990705968490962,0.5080822816491127
2000-06-29,0.0,0.0,0.0,0.0,0.5029559850692749
2000-06-30,0.6306983757019042,0.6306983757019042,0.674924785564112,0.6570743414862402,0.0
2000-07-01,0.0,0.0,0.5124166828393936,0.0,0.0
2000-07-02,0.8608833974599838,0.8608833974599838,0.8401443408533583,0.8432683358521297,0.839748300909996
2000-07-03,0.946677906513214,0.946677906513214,0.9190390684299692,0.8024115996730738,0.8653312820196152
2000-07-04,0.9379563111066818,0.9379563111066818,0.931723708288614,0.9291736286878586,0.9482100582122802
2000-07-05,1.0,1.0,1.0,1.0,1.0
2000-07-06,0.9106185388565063,0.9106185388565063,0.9528608963655869,0.9106185388565063,0.8301882195472717
2000-07-07,0.5614438062906265,0.5614438062906265,0.7099871691021807,0.5003052046586727,0.6145965749025345
2000-07-08,0.7727499842643738,0.7727499842643738,0.8166135569644528,0.7727499842643738,0.0
2000-07-09,0.0,0.0,0.6020707602694977,0.4311435701723757,0.0
2000-07-10,0.7544495558738709,0.7544495558738709,0.6559591232829314,0.8465051591396332,0.0
2000-07-11,0.8622770756483078,0.8622770756483078,0.866006989479065,0.8682166044259892,0.8908577919006347
2000-07-12,0.9068718206882477,0.9068718206882477,0.8826647993298463,0.9168471783399582,0.9156229138374329
2000-07-13,0.8062881964445114,0.8062881964445114,0.8449617044731627,0.814867744589674,0.8476648026704788
2000-07-14,0.6340073877573014,0.6340073877573014,0.8785548699733822,0.6920374704640486,0.7157502484321594
2000-07-15,0.9089222383499145,0.9089222383499145,0.8733283016986624,0.8942809426373448,0.9800258618593216
2000-07-16,0.9979397904872894,0.9979397904872894,0.9803185246850168,0.9979397904872894,0.984760285615921
2000-07-17,0.9850696873664856,0.9850696873664856,0.9748517863833626,0.9708554536104202,1.0
2000-07-18,0.8956882095336913,0.8956882095336913,0.9262116155513496,0.9669458848237993,0.9396629971265793
2000-07-19,1.0,1.0,0.9960874674347941,1.0,1.0
2000-07-20,0.0,0.0,0.0,0.0,0.0
2000-07-21,0.6792835378646851,0.6792835378646851,0.6471536579797434,0.7228426437953422,0.7779922884702682
2000-07-22,0.7673987764120102,0.7673987764120102,0.8111527946937914,0.7673987764120102,0.8006607627868653
2000-07-23,0.9349503540992736,0.9349503540992736,0.9523798082595647,0.9473013083893677,0.9322059100866318
2000-07-24,0.975836461186409,0.975836461186409,0.9481271736982256,0.9738943851199643,0.9858669197559357
2000-07-25,1.0,1.0,1.0,1.0,0.9871329426765442
2000-07-26,1.0,1.0,1.0,1.0,1.0
2000-07-27,1.0,1.0,1.0,1.0,0.9476892679929733
2000-07-28,1.0,1.0,1.0,1.0,1.0
2000-07-29,0.5992434325814247,0.5992434325814247,0.0,0.6774359635032455,0.0
2000-07-30,1.0,1.0,1.0,1.0,1.0
2000-07-31,1.0,1.0,1.0,1.0,1.0
2000-08-01,1.0,1.0,1.0,1.0,1.0
2000-08-02,1.0,1.0,1.0,1.0,0.9968855166435241
2000-08-03,1.0,1.0,1.0,1.0,0.9110783141851425
2000-08-04,0.8469531786441803,0.8469531786441803,0.67215612545956,0.8635602038276606,0.9774708813428878
2000-08-05,1.0,1.0,1.0,1.0,0.9762867164611816
2000-08-06,0.0,0.0,0.0,0.0,0.0
2000-08-07,0.0,0.0,0.0,0.0,0.0
2000-08-08,0.0,0.0,0.0,0.0,0.0
2000-08-09,0.0,0.0,0.0,0.0,0.0
2000-08-10,0.0,0.0,0.0,0.0,0.0
2000-08-11,0.0,0.0,0.0,0.0,0.0
2000-08-12,0.0,0.0,0.0,0.0,0.0
2000-08-13,0.0,0.0,0.0,0.0,0.0
2000-08-14,0.0,0.0,0.0,0.0,0.0
2000-08-15,0.0,0.0,0.0,0.0,0.0
2000-08-16,0.0,0.0,0.0,0.0,0.0
2000-08-17,0.0,0.0,0.0,0.0,0.0
2000-08-18,0.0,0.0,0.0,0.0,0.0
2000-08-19,0.9304609996080399,0.9304609996080399,0.9773973659304684,0.9304609996080399,0.8498170560598373
2000-08-20,0.0,0.0,0.0,0.0,0.0
2000-08-21,0.5901004666090012,0.5901004666090012,0.5569908119980679,0.5963929697871208,0.6016896176338196
2000-08-22,0.0,0.0,0.0,0.0,0.0
2000-08-23,0.5023976555466652,0.5023976555466652,0.23663999230362645,0.5023976555466652,1.0
2000-08-24,1.0,1.0,1.0,1.0,1.0
2000-08-25,0.5792822235822678,0.5792822235822678,0.5934150605423505,0.0,0.0
2000-08-26,0.8716047090291976,0.8716047090291976,0.8657398660931476,0.6996596438925841,0.9934020423889159
2000-08-27,0.9504906159639358,0.9504906159639358,0.9572919866511987,0.855110191086243,0.9611625963449478
2000-08-28,0.9412702995538711,0.9412702995538711,0.9492722604025241,0.9527641804053866,0.5188182699680328
2000-08-29,1.0,1.0,1.0,1.0,1.0
2000-08-30,0.7540301686525345,0.7540301686525345,0.4717708564774934,0.5580065371250282,0.0
2000-08-31,1.0,1.0,1.0,1.0,1.0
2000-09-01,1.0,1.0,1.0,1.0,0.9889084327220916
2000-09-02,1.0,1.0,1.0,1.0,1.0
2000-09-03,1.0,1.0,1.0,1.0,1.0
2000-09-04,0.6796114748716354,0.6796114748716354,0.6736974953080331,0.6676772169203594,0.5049143755435943
2000-09-05,1.0,1.0,1.0,1.0,1.0
2000-09-06,1.0,1.0,1.0,1.0,1.0
2000-09-07,1.0,1.0,1.0,1.0,0.9079065495729446
2000-09-08,0.0,0.0,0.0,0.0,0.0
2000-09-09,0.0,0.0,0.0,0.0,0.0
2000-09-10,0.701918836236,0.701918836236,0.525087638878545,0.714809809861512,0.5512787687778473
2000-09-11,0.5547538408637047,0.5547538408637047,0.6780178872929062,0.5469732025573993,0.0
2000-09-12,0.0,0.0,0.5213470510480015,0.0,0.6368057066202164
2000-09-13,0.509878723025322,0.509878723025322,0.0,0.509878723025322,0.5803700339794159
2000-09-14,0.8785244178771973,0.8785244178771973,0.8865792640004045,0.8815532473860115,0.9054254215955734
2000-09-15,0.8339359474182129,0.8339359474182129,0.835283268177232,0.8339359474182129,0.8800520980358123
2000-09-16,0.9598367846012115,0.9598367846012115,0.9442665956186692,0.9459438402282783,0.9841247498989105
2000-09-17,0.6795411562919617,0.6795411562919617,0.6232474911212921,0.6883197203175775,0.5639532420039177
2000-09-18,0.9968338054418564,0.9968338054418564,0.9761995197451391,0.9602571094036102,0.9849144816398621
2000-09-19,0.995136062502861,0.995136062502861,0.7334373394694438,0.976022405644943,0.6092864042520523
2000-09-20,0.6563220334053039,0.6563220334053039,0.704568581206854,0.6531976526975631,0.528636041879654
2000-09-21,0.9046037399768829,0.9046037399768829,0.8853328296472859,0.8895689611393829,0.9274462437629699
2000-09-22,0.9919797319173812,0.9919797319173812,0.9633161479234695,0.9859816975840207,0.9488508588075637
2000-09-23,1.0,1.0,1.0,1.0,0.9244099235534667
2000-09-24,1.0,1.0,1.0,1.0,1.0
2000-09-25,1.0,1.0,1.0,1.0,1.0
2000-09-26,1.0,1.0,1.0,1.0,1.0
2000-09-27,1.0,1.0,1.0,1.0,1.0
2000-09-28,1.0,1.0,1.0,1.0,1.0
2000-09-29,1.0,1.0,1.0,1.0,1.0
2000-09-30,1.0,1.0,1.0,1.0,1.0
2000-10-01,1.0,1.0,1.0,1.0,1.0
2000-10-02,1.0,1.0,1.0,1.0,0.9943015432357788
2000-10-03,1.0,1.0,1.0,1.0,0.8413226437568664
2000-10-04,1.0,1.0,1.0,1.0,1.0
2000-10-05,1.0,1.0,1.0,1.0,1.0
2000-10-06,1.0,1.0,1.0,1.0,0.9175000232458115
2000-10-07,1.0,1.0,0.9831173433675321,1.0,1.0
2000-10-08,1.0,1.0,1.0,1.0,0.9615612125396729
2000-10-09,1.0,1.0,1.0,1.0,1.0
2000-10-10,0.9979700094461441,0.9979700094461441,1.0,0.9979700094461441,0.8799789667129516
2000-10-11,1.0,1.0,0.9943001645387604,1.0,1.0
2000-10-12,1.0,1.0,0.9922521017318547,1.0,1.0
2000-10-13,1.0,1.0,1.0,1.0,1.0
2000-10-14,1.0,1.0,0.9891998761892319,1.0,1.0
2000-10-15,1.0,1.0,1.0,1.0,0.9848126459121703
2000-10-16,1.0,1.0,0.9743158304968544,1.0,0.8847293293476104
2000-10-17,0.0,0.0,0.0,0.0,0.0
2000-10-18,1.0,1.0,0.9455902386820594,0.9918831013811046,0.9986528569459915
2000-10-19,1.0,1.0,0.9841978174863858,1.0,0.8352353626489639
2000-10-20,1.0,1.0,0.9611404851979987,1.0,0.7339688187837601
2000-10-21,1.0,1.0,0.9571487128595971,1.0,0.9434405833482742
2000-10-22,1.0,1.0,0.9763742301769034,1.0,1.0
2000-10-23,1.0,1.0,0.9543065507606018,1.0,1.0
2000-10-24,1.0,1.0,0.9633652627468109,1.0,0.8535716354846954
2000-10-25,1.0,1.0,0.8873103038377539,1.0,0.9688222008943558
2000-10-26,0.0,0.0,0.0,0.0,0.0
2000-10-27,1.0,1.0,1.0,0.9701585448815905,1.0
2000-10-28,1.0,1.0,0.891341078877449,0.9868494325876236,0.8761270231008529
2000-10-29,0.6024955767393112,0.6024955767393112,0.5230256121518999,0.6622053968495336,0.0
2000-10-30,0.5617432191967964,0.5617432191967964,0.6080758906588998,0.0,0.0
2000-10-31,0.4890117385983467,0.4890117385983467,0.0,0.0,0.0
2000-11-01,0.0,0.0,0.6195033701699832,0.0,0.0
2000-11-02,0.4923282513022423,0.4923282513022423,0.445502471743628,0.4923282513022423,0.0
2000-11-03,0.5918375158309936,0.5918375158309936,0.7383870160718295,0.5501736491918564,0.0
2000-11-04,0.0,0.0,0.0,0.0,0.0
2000-11-05,1.0,1.0,0.7643158320909321,0.910622866153717,0.9567069947719574
2000-11-06,0.6431616407632827,0.6431616407632827,0.6410344806660053,0.6481722903251648,0.6204327285289765
2000-11-07,0.0,0.0,0.28159886598587036,0.0,0.0
2000-11-08,0.0,0.0,0.0,0.0,0.0
2000-11-09,1.0,1.0,0.6640898925065994,0.7968810154035173,0.7748245626688003
2000-11-10,0.0,0.0,0.24148683353911998,0.0,0.0
2000-11-11,1.0,1.0,0.7856478843993919,0.8787035679817199,0.7724740469455719
2000-11-12,1.0,1.0,0.8443842165969139,0.9101238765593231,0.9149992060661316
2000-11-13,1.0,1.0,0.7776826703548431,0.9201716244220733,0.8739546477794647
2000-11-14,1.0,1.0,0.8101055166471837,0.9333112460374832,0.8153167414665222
2000-11-15,1.0,1.0,0.7026439444894013,0.9928581831989618,0.9317436826229095
2000-11-16,1.0,1.0,0.8293408039281533,0.9466239570543684,0.8620766496658325
2000-11-17,1.0,1.0,0.8567925224678459,0.862718213755509,0.8267379212379455
2000-11-18,0.9597414398193359,0.9597414398193359,0.6446533490058987,0.8144787603616714,0.0
2000-11-19,1.0,1.0,0.6812433254857395,0.923757595933717,0.8034157365560531
2000-11-20,0.9955447036027908,0.9955447036027908,0.7373805672484773,0.8182786794160976,0.0
2000-11-21,1.0,1.0,0.42203200501064914,0.8609178069336662,0.8216675549745559
2000-11-22,0.9909448587894439,0.9909448587894439,0.3502365087353906,0.9341326366827404,0.7799218302965164
2000-11-23,0.9064460146427155,0.9064460146427155,0.7186404200487359,0.9064460146427155,0.8601204949617386
2000-11-24,0.938084687590599,0.938084687590599,0.7221518271745636,0.9206217578361775,0.5825255689024925
2000-11-25,0.8776321291923522,0.8776321291923522,0.693580567240715,0.8776321291923522,0.5467869260907173
2000-11-26,0.8842638564109802,0.8842638564109802,0.4083600939706314,0.8377828251082322,0.7611208778619766
2000-11-27,0.7373345905542373,0.7373345905542373,0.2419655869173449,0.5813752290606499,0.0
2000-11-28,0.8704788905382156,0.8704788905382156,0.7151775247759596,0.7695853596925736,0.731015510559082
2000-11-29,0.7412348556518554,0.7412348556518554,0.24136798381805416,0.7412348556518554,0.0
2000-11-30,0.7962038630247116,0.7962038630247116,0.4697680306989093,0.7307009881734848,0.0
2000-12-01,0.7255621063709259,0.7255621063709259,0.25508548243101253,0.7075702267063074,0.0
2000-12-02,0.6537298381328582,0.6537298381328582,0.5370795002579689,0.6363157844543457,0.0
2000-12-03,0.7417792296409607,0.7417792296409607,0.5253533575701159,0.7868919994091165,0.48432397753000256
2000-12-04,0.0,0.0,0.0,0.0,0.0
2000-12-05,0.7423793536424637,0.7423793536424637,0.25769890158675435,0.760614487097181,0.0
2000-12-06,0.5518982574343682,0.5518982574343682,0.0,0.12005898470508641,0.0
2000-12-07,0.0,0.0,0.0,0.0,0.0
2000-12-08,0.6048211744427681,0.6048211744427681,0.0,0.13240002351588215,0.0
2000-12-09,0.5149764955043793,0.5149764955043793,0.0,0.0,0.0
2000-12-10,0.6389611333608627,0.6389611333608627,0.0,0.5924778115749358,0.0
2000-12-11,0.48520699858665467,0.48520699858665467,0.0,0.48520699858665467,0.0
2000-12-12,0.5817858895659447,0.5817858895659447,0.0,0.5227688237305346,0.0
2000-12-13,0.0,0.0,0.0,0.0,0.0
2000-12-14,0.5081661230325699,0.5081661230325699,0.0,0.5081411328911781,0.0
2000-12-15,0.0,0.0,0.0,0.0,0.0
2000-12-16,0.0,0.0,0.0,0.5318181920051575,0.0
2000-12-17,0.0,0.0,0.0,0.3941921650130173,0.0
2000-12-18,0.0,0.0,0.0,0.0,0.0
2000-12-19,0.0,0.0,0.0,0.0,0.0
2000-12-20,0.0,0.0,0.0,0.0,0.0
2000-12-21,0.0,0.0,0.0,0.0,0.0
2000-12-22,0.0,0.0,0.0,0.0,0.0
2000-12-23,0.0,0.0,0.0,0.0,0.0
2000-12-24,0.0,0.0,0.0,0.0,0.0
2000-12-25,0.0,0.0,0.0,0.0,0.0
2000-12-26,0.0,0.0,0.0,0.0,0.0
2000-12-27,0.0,0.0,0.0,0.0,0.0
2000-12-28,0.0,0.0,0.0,0.0,0.0
2000-12-29,0.0,0.0,0.0,0.0,0.0
2000-12-30,0.0,0.0,0.0,0.0,0.0
2000-12-31,0.0,0.0,0.0,0.0,0.0
2001-01-01,0.0,0.0,0.0,0.0,0.0
2001-01-02,0.0,0.0,0.0,0.0,0.0
2001-01-03,0.0,0.0,0.0,0.0,0.0
2001-01-04,0.0,0.0,0.0,0.0,0.0
2001-01-05,0.0,0.0,0.0,0.0,0.0
2001-01-06,0.0,0.0,0.0,0.0,0.0
2001-01-07,0.0,0.0,0.0,0.0,0.0
2001-01-08,0.0,0.0,0.0,0.0,0.0
2001-01-09,0.0,0.0,0.0,0.0,0.0
2001-01-10,0.0,0.0,0.0,0.0,0.0
2001-01-11,0.0,0.0,0.0,0.0,0.0
2001-01-12,0.0,0.0,0.0,0.0,0.0
2001-01-13,0.0,0.0,0.0,0.0,0.0
2001-01-14,0.0,0.0,0.0,0.0,0.0
2001-01-15,0.0,0.0,0.0,0.0,0.0
2001-01-16,0.0,0.0,0.0,0.0,0.0
2001-01-17,0.0,0.0,0.0,0.0,0.0
2001-01-18,0.0,0.0,0.0,0.0,0.0
2001-01-19,0.0,0.0,0.0,0.0,0.0
2001-01-20,0.0,0.0,0.0,0.0,0.0
2001-01-21,0.0,0.0,0.0,0.0,0.0
2001-01-22,0.0,0.0,0.0,0.0,0.0
2001-01-23,0.0,0.0,0.0,0.0,0.0
2001-01-24,0.0,0.0,0.0,0.0,0.0
2001-01-25,0.0,0.0,0.0,0.0,0.0
2001-01-26,0.0,0.0,0.0,0.0,0.0
2001-01-27,0.0,0.0,0.0,0.0,0.0
2001-01-28,0.0,0.0,0.0,0.0,0.0
2001-01-29,0.0,0.0,0.0,0.0,0.0
2001-01-30,0.0,0.0,0.0,0.0,0.0
2001-01-31,0.0,0.0,0.0,0.0,0.0
2001-02-01,0.0,0.0,0.0,0.0,0.0
2001-02-02,0.0,0.0,0.0,0.0,0.0
2001-02-03,0.0,0.0,0.0,0.0,0.0
2001-02-04,0.0,0.0,0.0,0.0,0.0
2001-02-05,0.0,0.0,0.0,0.0,0.0
2001-02-06,0.0,0.0,0.0,0.0,0.0
2001-02-07,0.0,0.0,0.0,0.0,0.0
2001-02-08,0.0,0.0,0.0,0.0,0.0
2001-02-09,0.0,0.0,0.0,0.0,0.0
2001-02-10,0.0,0.0,0.0,0.0,0.0
2001-02-11,0.0,0.0,0.0,0.0,0.0
2001-02-12,0.0,0.0,0.0,0.0,0.0
2001-02-13,0.0,0.0,0.0,0.0,0.0
2001-02-14,0.0,0.0,0.0,0.0,0.0
2001-02-15,0.0,0.0,0.0,0.0,0.0
2001-02-16,0.0,0.0,0.0,0.0,0.0
2001-02-17,0.0,0.0,0.0,0.0,0.0
2001-02-18,0.0,0.0,0.0,0.0,0.0
